file_name,pair_sha256,duration_sec,duration_bin,reference,hypothesis,wer,word_insertions,word_deletions,word_substitutions,dominant_error,hallucination,baseline_wer,wer_improvement
euphonia_3ed5cbb8acd64619ce924e9fc720814d.wav,cf34323ea7228f53a67a2290f0fb1f0d0202b327bb56b0727f5c5f0af580fe8a,2.879,"(1.0, 3]",temperature,time for a tour,4.0,3,0,1,insertion,True,3.0,-1.0
euphonia_22e6754d9f8b311acec9114f7d609577.wav,e0cf257b38c8f2c7f610d5defaf64b0a802c25cba0619d0b662ea35d65b6f984,2.322,"(1.0, 3]",100,what i said,3.0,2,0,1,insertion,True,3.0,0.0
euphonia_2c4ccc77f29b1a98735bd8555b34b4ad.wav,db9dde4cebbd450c001cae3231430b11d4c96aab8bdff3900fe2a3500711421c,2.694,"(1.0, 3]",good,do you believe,3.0,2,0,1,insertion,True,2.0,-1.0
euphonia_f7db096ef8f4ca2a3884e6e36b654f09.wav,df829e7bc41129b0305d4f853598db95b3e80737a212394f5ed7d3d72a65bd11,2.136,"(1.0, 3]",directions,there are cases,3.0,2,0,1,insertion,True,4.0,1.0
euphonia_084a5a4e93984fdc2e1d6cee9abe48bb.wav,ddc16143149be425e5a92c79c2890024e68daa7f5f58bcf824d8dbd14e677b8c,2.879,"(1.0, 3]",hide keyboard,how do you feel it,2.5,3,0,2,insertion,True,2.0,-0.5
euphonia_09bd74d35cff0f58dc8df1af7fc361a0.wav,e6189ebd6008d5162c679f636de4bec8479ebf52270c4179b289801f1c5b449f,3.994,"(3.0, 10]",restaurants nearby,wait for it to snowball,2.5,3,0,2,insertion,True,5.0,2.5
euphonia_7da1cdf852f333cf1c9a53e76dcaa270.wav,d2d9bd74b276650cd1a1b129538e64caf54c3ba7381a0561c0678bd035afb195,3.901,"(3.0, 10]",play ariana grande,how long are you now going to,2.3333333333333335,4,0,3,insertion,True,3.0,0.6666666666666665
euphonia_26e350767d076aad02f1dd6b2b1160b4.wav,e242ac72ea477f82c85f253e738a244fa3634d85e1d979b12637bdf9479a346a,2.322,"(1.0, 3]",first one,i bet you are,2.0,2,0,2,insertion,True,2.0,0.0
euphonia_5994a24d39d0455444df17313e60025d.wav,cf21ab699b488de825f0bd4beef7f6cf247d40677a891e9d0dc33f229538ee0d,1.95,"(1.0, 3]",undo,i do,2.0,1,0,1,insertion,True,3.0,1.0
euphonia_7368b148737c6dade05fd843d5937903.wav,d8bf42ed6bc2b46c37d812f277da13c6916c855025fe19e2a1d87b787707eaca,2.972,"(1.0, 3]",thats wonderful,that is not bad,2.0,2,0,2,insertion,True,3.0,1.0
euphonia_806c50e857f5f44b400e0a3733014d1e.wav,e41f4f9e8107ef462a882dede630307bec78440f6097d06c7e38a654db80dc09,3.344,"(3.0, 10]",lower television,will you tell me,2.0,2,0,2,insertion,True,2.5,0.5
euphonia_99f59d2c3798c5ba151d478d7a73c66e.wav,dc9ae6ae257ee4c611e07c813e75e6d6b7bf5fa48bd9865afaa637e21e43e767,2.879,"(1.0, 3]",call grandma,can you believe my,2.0,2,0,2,insertion,True,4.5,2.5
